epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.7246,1.11602,1.88725,1.39516,0.12225,0.42718,0.09752,0.02763,2.60118,12.3057,4.45804,0.000649123,0.000649123,0.000649123
2,94.3978,1.51362,1.90158,1.6355,0.01237,0.07767,0.00403,0.00087,4.71041,414.337,40.2592,0.00128974,0.00128974,0.00128974
3,128.937,1.5115,1.74739,1.64868,0.01237,0.07767,0.00403,0.00087,nan,nan,nan,0.00190395,0.00190395,0.00190395
4,162.316,1.53408,1.83242,1.67659,0.01237,0.07767,0.00403,0.00087,nan,nan,nan,0.0018812,0.0018812,0.0018812
5,195.428,1.42925,1.68392,1.58057,0.07243,0.08738,0.02477,0.00784,2.88296,13.084,3.79889,0.0018416,0.0018416,0.0018416
6,229.159,1.41048,1.71368,1.59094,0.49926,0.45631,0.43113,0.23793,1.64962,4.02035,2.27888,0.001802,0.001802,0.001802
7,266.233,1.28794,1.55456,1.47469,0.45559,0.39811,0.38847,0.17268,1.96259,3.8134,2.40789,0.0017624,0.0017624,0.0017624
8,300.366,1.32928,1.5831,1.51321,0.79376,0.59223,0.63008,0.39615,1.46865,2.17469,2.00881,0.0017228,0.0017228,0.0017228
9,337.772,1.17461,1.48058,1.41551,0.8279,0.64078,0.70244,0.49918,1.13705,2.22182,1.56712,0.0016832,0.0016832,0.0016832
10,373.292,1.19249,1.40978,1.42595,0.36356,0.29397,0.1937,0.08215,1.96075,8.278,2.33375,0.0016436,0.0016436,0.0016436
11,407.074,1.12707,1.37873,1.37846,0.82054,0.44396,0.58276,0.4014,1.2097,1.39741,1.68521,0.001604,0.001604,0.001604
12,441.538,1.19359,1.42618,1.40673,0.74665,0.57282,0.6778,0.48048,1.10921,1.47465,1.50688,0.0015644,0.0015644,0.0015644
13,474.638,1.16982,1.40197,1.38797,0.7416,0.69662,0.7897,0.55484,1.03167,1.37694,1.52124,0.0015248,0.0015248,0.0015248
14,515.648,1.08585,1.36968,1.35023,0.84431,0.63182,0.75574,0.5449,0.92504,1.12269,1.36363,0.0014852,0.0014852,0.0014852
15,548.258,1.06709,1.31949,1.34363,0.72922,0.68932,0.73785,0.54525,1.0303,1.08641,1.42282,0.0014456,0.0014456,0.0014456
16,581.476,1.05649,1.23922,1.30732,0.71884,0.66019,0.73908,0.54024,0.9424,1.05634,1.39597,0.001406,0.001406,0.001406
17,613.838,1.066,1.29697,1.34491,0.73203,0.68932,0.75367,0.53975,0.91104,1.1394,1.32619,0.0013664,0.0013664,0.0013664
18,646.806,0.98595,1.2257,1.29017,0.65035,0.64078,0.71002,0.52899,1.06542,1.24153,1.44089,0.0013268,0.0013268,0.0013268
19,681.196,0.97466,1.16728,1.27201,0.74617,0.79917,0.81254,0.6087,0.8436,1.05608,1.36856,0.0012872,0.0012872,0.0012872
20,719.709,0.94511,1.18955,1.26985,0.70163,0.65049,0.76683,0.53675,1.01654,1.18065,1.5294,0.0012476,0.0012476,0.0012476
21,754.481,0.98972,1.223,1.29219,0.80582,0.71845,0.7905,0.6227,0.80821,1.02115,1.27789,0.001208,0.001208,0.001208
22,791.827,0.94411,1.18154,1.2749,0.7463,0.75728,0.79863,0.62223,0.82297,0.97312,1.28943,0.0011684,0.0011684,0.0011684
23,829.609,0.93932,1.14185,1.25786,0.75171,0.82303,0.84392,0.63689,0.86555,0.82646,1.30634,0.0011288,0.0011288,0.0011288
24,865.528,0.91439,1.10528,1.24165,0.80477,0.7767,0.85417,0.64473,0.83841,0.9289,1.30289,0.0010892,0.0010892,0.0010892
25,904.649,0.9053,1.09801,1.24523,0.81242,0.63075,0.7153,0.51828,1.0784,1.32979,1.45519,0.0010496,0.0010496,0.0010496
26,939.37,0.89005,1.05091,1.22464,0.76577,0.79352,0.8411,0.66618,0.75706,0.83573,1.20335,0.00101,0.00101,0.00101
27,978.557,0.89569,1.10074,1.2369,0.8426,0.72765,0.83766,0.65203,0.81659,0.81089,1.24841,0.0009704,0.0009704,0.0009704
28,1012.27,0.82521,1.02978,1.17701,0.78609,0.82065,0.86827,0.69589,0.71528,0.78106,1.18713,0.0009308,0.0009308,0.0009308
29,1052.78,0.86168,1.06974,1.19636,0.93099,0.68932,0.84958,0.70835,0.69337,0.82414,1.16771,0.0008912,0.0008912,0.0008912
30,1094.47,0.82288,0.98192,1.17678,0.82181,0.79612,0.88749,0.72231,0.69644,0.70711,1.16168,0.0008516,0.0008516,0.0008516
31,1128.01,0.8494,1.03376,1.20415,0.92433,0.7116,0.88468,0.71241,0.73563,0.73982,1.19852,0.000812,0.000812,0.000812
32,1161.47,0.83751,1.0199,1.19208,0.8968,0.75934,0.89302,0.73167,0.67583,0.69644,1.18825,0.0007724,0.0007724,0.0007724
33,1198.87,0.83671,1.00778,1.22437,0.92767,0.74717,0.90045,0.71518,0.71308,0.71906,1.17399,0.0007328,0.0007328,0.0007328
34,1239.76,0.8132,1.00946,1.18401,0.80989,0.82722,0.88044,0.73635,0.65637,0.70988,1.19321,0.0006932,0.0006932,0.0006932
35,1274.44,0.8081,0.94105,1.17753,0.82262,0.85547,0.90755,0.74571,0.62767,0.65835,1.15753,0.0006536,0.0006536,0.0006536
36,1315.59,0.79382,0.96899,1.17062,0.76163,0.80583,0.88179,0.73823,0.60071,0.72203,1.15638,0.000614,0.000614,0.000614
37,1348.74,0.74432,0.91793,1.13871,0.89464,0.79612,0.91542,0.75867,0.60951,0.65476,1.12526,0.0005744,0.0005744,0.0005744
38,1387.96,0.80111,0.93475,1.16876,0.94133,0.77891,0.92348,0.7905,0.56738,0.65089,1.10091,0.0005348,0.0005348,0.0005348
39,1423.57,0.77885,0.93329,1.15788,0.81906,0.83503,0.9079,0.77582,0.5777,0.64816,1.10997,0.0004952,0.0004952,0.0004952
40,1455.51,0.75739,0.92586,1.1463,0.81528,0.83495,0.90043,0.738,0.68158,0.66598,1.16987,0.0004556,0.0004556,0.0004556
41,1492.21,0.67951,0.85804,1.13585,0.87021,0.78641,0.91053,0.77962,0.57406,0.62514,1.09683,0.000416,0.000416,0.000416
42,1526.26,0.68982,0.80292,1.15006,0.84899,0.86408,0.9314,0.80842,0.53335,0.57609,1.09468,0.0003764,0.0003764,0.0003764
43,1562.64,0.68331,0.80685,1.14134,0.90903,0.81553,0.94496,0.80543,0.57694,0.57316,1.08145,0.0003368,0.0003368,0.0003368
44,1596.36,0.67256,0.80881,1.12644,0.82236,0.85437,0.93037,0.80229,0.5727,0.61447,1.11342,0.0002972,0.0002972,0.0002972
45,1629.81,0.63605,0.77113,1.12071,0.82856,0.8835,0.93735,0.78299,0.59673,0.58979,1.10768,0.0002576,0.0002576,0.0002576
46,1663.44,0.62232,0.7731,1.117,0.8452,0.87379,0.94075,0.83176,0.53517,0.53752,1.0809,0.000218,0.000218,0.000218
47,1698.67,0.61328,0.72394,1.05925,0.85572,0.86374,0.94212,0.81085,0.53944,0.55826,1.07588,0.0001784,0.0001784,0.0001784
